epoch,step,train_discriminator_accuracy,train_discriminator_loss,train_generator_loss,validation_discriminator_accuracy,validation_discriminator_loss,validation_generator_loss
49,1099,0.5,1.3412574529647827,0.7681481242179871,,,
49,1099,,,,0.5714285714285714,1.3676992654800415,0.7333326935768127
50,1121,,,,0.5714285714285714,1.3776108026504517,0.7101136445999146
51,1143,,,,0.4714285714285714,1.3969391584396362,0.7217215299606323
52,1149,0.59375,1.3753931522369385,0.7232849597930908,,,
52,1165,,,,0.4857142857142857,1.3939454555511475,0.7048458456993103
53,1187,,,,0.38571428571428573,1.4232373237609863,0.6773359179496765
54,1199,0.6875,1.3547146320343018,0.7191286087036133,,,
54,1209,,,,0.6714285714285714,1.357880711555481,0.6871655583381653
55,1231,,,,0.5714285714285714,1.359330415725708,0.6788321137428284
56,1249,0.8125,1.335848093032837,0.7095412611961365,,,
56,1253,,,,0.5,1.4066219329833984,0.816955029964447
57,1275,,,,0.6142857142857143,1.347651720046997,0.6680561900138855
58,1297,,,,0.5,1.3751659393310547,0.6745543479919434
59,1299,0.78125,1.345086693763733,0.7357228398323059,,,
59,1319,,,,0.6285714285714286,1.3580269813537598,0.6852647662162781
60,1341,,,,0.5428571428571428,1.3774619102478027,0.6957205533981323
61,1349,0.59375,1.3450223207473755,0.7313186526298523,,,
61,1363,,,,0.5,1.3668256998062134,0.5503438711166382
62,1385,,,,0.4857142857142857,1.3906018733978271,0.7619040012359619
63,1399,0.71875,1.3590731620788574,0.7187387943267822,,,
63,1407,,,,0.7571428571428571,1.3494197130203247,0.7195314764976501
64,1429,,,,0.6,1.331566333770752,0.639390766620636
65,1449,0.5,1.3714821338653564,0.6866467595100403,,,
65,1451,,,,0.5142857142857142,1.4039727449417114,0.7681865692138672
66,1473,,,,0.6714285714285714,1.340981125831604,0.7511261105537415
67,1495,,,,0.35714285714285715,1.4043443202972412,0.6901640892028809
68,1499,0.65625,1.330002784729004,0.818508505821228,,,
68,1517,,,,0.5428571428571428,1.3744590282440186,0.6934823393821716
69,1539,,,,0.5,1.4001796245574951,0.8577616810798645
70,1549,0.5625,1.3226535320281982,0.8242486715316772,,,
70,1561,,,,0.5571428571428572,1.395451545715332,0.7192144393920898
71,1583,,,,0.5428571428571428,1.3883856534957886,0.6006989479064941
72,1599,0.53125,1.3839976787567139,0.7698526382446289,,,
72,1605,,,,0.5857142857142857,1.3515074253082275,0.7002621293067932
73,1627,,,,0.6142857142857143,1.3239500522613525,0.7024798393249512
74,1649,0.4642857142857143,1.3949882984161377,0.791511058807373,,,
74,1649,,,,0.5285714285714286,1.4295810461044312,0.7703845500946045
75,1671,,,,0.7142857142857143,1.3166475296020508,0.7490396499633789
76,1693,,,,0.5714285714285714,1.3958549499511719,0.704365611076355
77,1699,0.5,1.325232744216919,0.8026260137557983,,,
77,1715,,,,0.5714285714285714,1.3682621717453003,0.6506579518318176
78,1737,,,,0.6428571428571429,1.2950103282928467,0.8272640109062195
79,1749,0.3125,1.5058252811431885,0.8004809021949768,,,
79,1759,,,,0.5857142857142857,1.379582405090332,0.7319027185440063
80,1781,,,,0.6857142857142857,1.2874189615249634,0.8217471241950989
81,1799,0.59375,1.3487162590026855,0.7035660743713379,,,
81,1803,,,,0.44285714285714284,1.4091638326644897,0.6659155488014221
82,1825,,,,0.5285714285714286,1.3727082014083862,0.7785241007804871
