epoch,knn_accuracy,step,train_discriminator_loss,train_generator_loss,validation_discriminator_loss,validation_generator_loss
0,,49,0.21860899031162262,1.0035914182662964,,
0,,99,0.0072214738465845585,0.9967280626296997,,
0,,149,0.00018220990023110062,1.0222139358520508,,
0,,199,9.846618195297197e-05,1.0033819675445557,,
0,,249,0.00034080861951224506,1.000313639640808,,
0,,299,9.834922093432397e-05,1.0070112943649292,,
0,,349,0.00018150979303754866,1.0183180570602417,,
0,,399,0.0003941210452467203,1.003108263015747,,
0,,449,0.0005932319909334183,0.9701098203659058,,
0,0.5731691122055054,459,,,0.7817219495773315,0.015985578298568726
1,,499,0.00010105549881700426,1.0139553546905518,,
1,,549,8.819127106107771e-05,0.9977278709411621,,
1,,599,0.00021083476895000786,0.9970831871032715,,
1,,649,3.819567427854054e-05,1.0069141387939453,,
1,,699,0.00015368839376606047,1.0177345275878906,,
1,,749,0.00015552088734693825,1.0153207778930664,,
1,,799,0.00012142744526499882,1.0067603588104248,,
1,,849,0.00030776270432397723,0.9853376150131226,,
1,,899,0.0002806491684168577,0.9954738020896912,,
1,0.5725098252296448,919,,,0.5598227381706238,0.09563241899013519
2,,949,0.00010291323997080326,1.0145552158355713,,
2,,999,6.366545130731538e-05,1.0050861835479736,,
2,,1049,0.0001654301304370165,1.0222177505493164,,
2,,1099,0.00011541360436240211,0.9950373768806458,,
2,,1149,0.000166329147759825,1.0013463497161865,,
2,,1199,0.00012445152970030904,0.9951976537704468,,
2,,1249,0.0006168382824398577,0.9995092153549194,,
2,,1299,0.0003102445334661752,1.0030999183654785,,
2,,1349,9.633396985009313e-05,0.9995141625404358,,
2,0.5853015780448914,1379,,,0.5528023838996887,0.10273591428995132
3,,1399,0.0002987037878483534,1.0059322118759155,,
3,,1449,9.079975279746577e-05,1.0032148361206055,,
3,,1499,0.00018460529099684209,1.0077937841415405,,
3,,1549,0.00028459393070079386,0.9932569265365601,,
3,,1599,0.00018386908050160855,1.0100370645523071,,
3,,1649,0.0001538495416752994,1.0204217433929443,,
3,,1699,0.050032708793878555,0.8781167268753052,,
3,,1749,0.0060112751089036465,1.3472480773925781,,
3,,1799,0.01696958765387535,1.3617092370986938,,
3,0.5904713273048401,1839,,,0.5451741218566895,0.23997589945793152
4,,1849,0.0008251802646555007,1.0159739255905151,,
4,,1899,0.0004985519917681813,0.9966138601303101,,
4,,1949,0.0038773859851062298,1.2062989473342896,,
4,,1999,0.0005950472550466657,0.9951593279838562,,
4,,2049,0.0009055298287421465,1.000624656677246,,
4,,2099,0.0010182909900322556,1.0244476795196533,,
4,,2149,0.0005883902194909751,0.9893075227737427,,
4,,2199,0.0006655327742919326,0.9956713914871216,,
4,,2249,0.0008395854383707047,0.9882204532623291,,
4,,2299,0.0006211298168636858,0.9981174468994141,,
4,0.5876047015190125,2299,,,0.5026190280914307,0.12193574011325836
5,,2349,0.0033364449627697468,0.9838238954544067,,
5,,2399,0.000645707652438432,1.0471500158309937,,
5,,2449,0.0029563517309725285,1.1069364547729492,,
5,,2499,0.0020465070847421885,1.0504987239837646,,
5,,2549,0.00044182525016367435,0.9851043224334717,,
5,,2599,0.00027907220646739006,0.9940005540847778,,
5,,2649,0.0030007967725396156,0.9775083065032959,,
5,,2699,0.0027424804866313934,1.1203086376190186,,
5,,2749,0.007597403600811958,1.000963568687439,,
5,0.5874621272087097,2759,,,0.5699511766433716,0.5736742615699768
6,,2799,0.0042035989463329315,0.9569594860076904,,
6,,2849,0.010358303785324097,1.032196283340454,,
6,,2899,0.013542747125029564,1.0803747177124023,,
6,,2949,0.0021102558821439743,1.0384728908538818,,
6,,2999,0.9382824301719666,0.06237901747226715,,
