epoch,step,train_discriminator_loss,train_generator_loss,validation_discriminator_accuracy,validation_discriminator_loss,validation_generator_loss
0,49,1.3637661933898926,0.6947545409202576,,,
0,99,1.3411270380020142,0.7040441036224365,,,
0,149,1.3407528400421143,0.6957973837852478,,,
0,199,1.3212738037109375,0.7098740339279175,,,
0,249,1.3101824522018433,0.7165200114250183,,,
0,299,1.3294360637664795,0.6986863017082214,,,
0,349,1.3178925514221191,0.7186847925186157,,,
0,399,1.2975640296936035,0.733536958694458,,,
0,449,1.3145573139190674,0.7248059511184692,,,
0,459,,,0.788840560010874,1.304269552230835,0.718595564365387
1,499,1.2906553745269775,0.7526414394378662,,,
1,549,1.3736572265625,0.670260488986969,,,
1,599,1.3101048469543457,0.7340860366821289,,,
1,649,1.296025276184082,0.7576590776443481,,,
1,699,1.3405767679214478,0.7000713348388672,,,
1,749,1.3245582580566406,0.7316812872886658,,,
1,799,1.3196278810501099,0.7330824136734009,,,
1,849,1.2892420291900635,0.7621914148330688,,,
1,899,1.27787446975708,0.7632766962051392,,,
1,919,,,0.7306646731004486,1.3199745416641235,0.737255334854126
2,949,1.3095424175262451,0.7368772625923157,,,
2,999,1.3066718578338623,0.7192946076393127,,,
2,1049,1.2696983814239502,0.7764691710472107,,,
2,1099,1.3250287771224976,0.721024751663208,,,
2,1149,1.283342719078064,0.7918184399604797,,,
2,1199,1.3270752429962158,0.7237869501113892,,,
2,1249,1.2957345247268677,0.7617554664611816,,,
2,1299,1.2982358932495117,0.7605899572372437,,,
2,1349,1.3271815776824951,0.7231717705726624,,,
2,1379,,,0.7072176158760364,1.3095484972000122,0.7437956929206848
3,1399,1.2909284830093384,0.7400110960006714,,,
3,1449,1.3110268115997314,0.7349386811256409,,,
3,1499,1.2819160223007202,0.7592387199401855,,,
3,1549,1.3120872974395752,0.7305514812469482,,,
3,1599,1.2793563604354858,0.7678518295288086,,,
3,1649,1.25609290599823,0.7928296327590942,,,
3,1699,1.2647788524627686,0.763414740562439,,,
3,1749,1.3199468851089478,0.7262319326400757,,,
3,1799,1.2586753368377686,0.8034713268280029,,,
3,1839,,,0.6080603506864211,1.3329564332962036,0.760071873664856
4,1849,1.2560293674468994,0.7976961731910706,,,
4,1899,1.3013768196105957,0.7498885989189148,,,
4,1949,1.2373582124710083,0.7942445278167725,,,
4,1999,1.2611300945281982,0.7520594000816345,,,
4,2049,1.318727731704712,0.7563528418540955,,,
4,2099,1.320353388786316,0.719864010810852,,,
4,2149,1.328231692314148,0.773754358291626,,,
4,2199,1.2364534139633179,0.7937740087509155,,,
4,2249,1.2001349925994873,0.8090872168540955,,,
4,2299,1.2713971138000488,0.7537866234779358,,,
4,2299,,,0.23467445969824657,1.3874311447143555,0.7162769436836243
5,2349,1.2234928607940674,0.8026984930038452,,,
5,2399,1.1823811531066895,0.8137100338935852,,,
5,2449,1.1218235492706299,0.9159048795700073,,,
5,2499,1.2187010049819946,0.7925509810447693,,,
5,2549,1.2962253093719482,0.7176706790924072,,,
5,2599,1.1625478267669678,0.9062680602073669,,,
5,2649,1.1832044124603271,0.94731605052948,,,
5,2699,1.178185224533081,0.8419531583786011,,,
5,2749,1.1598812341690063,0.8651927709579468,,,
5,2759,,,0.6786733722984912,1.3051942586898804,0.7156815528869629
6,2799,1.1204328536987305,0.8676329851150513,,,
6,2849,1.0596272945404053,0.9459953308105469,,,
6,2899,1.1406540870666504,0.837107241153717,,,
6,2949,1.1406244039535522,1.0110821723937988,,,
6,2999,1.2195719480514526,0.7650375366210938,,,
6,3049,1.1960841417312622,0.88978111743927,,,
6,3099,1.3360515832901,0.6865675449371338,,,
6,3149,1.2284023761749268,0.8086510300636292,,,
6,3199,0.8921607136726379,1.3055541515350342,,,
6,3219,,,0.6493815413891532,1.2957499027252197,0.843538761138916
7,3249,1.140671730041504,0.9277560710906982,,,
7,3299,1.0296056270599365,1.0777709484100342,,,
7,3349,0.9253448247909546,1.2406322956085205,,,
7,3399,1.353445291519165,0.7583948373794556,,,
7,3449,1.0841307640075684,0.8837156295776367,,,
7,3499,1.1200536489486694,0.9184271097183228,,,
7,3549,0.9569040536880493,1.1461021900177002,,,
7,3599,1.1783859729766846,0.8642712831497192,,,
7,3649,1.2867190837860107,0.9002220034599304,,,
7,3679,,,0.6437406551583525,1.1757667064666748,1.1189017295837402
8,3699,1.2031896114349365,0.8858552575111389,,,
8,3749,1.2197866439819336,0.8384976387023926,,,
8,3799,1.1204829216003418,0.9891360998153687,,,
8,3849,1.2222044467926025,0.8630549907684326,,,
8,3899,1.1101186275482178,1.0221495628356934,,,
8,3949,1.251640796661377,0.8321871757507324,,,
8,3999,1.236858606338501,0.8515390157699585,,,
8,4049,1.2572386264801025,0.7648056745529175,,,
8,4099,1.2007458209991455,0.8792835474014282,,,
8,4139,,,0.6580127769471252,1.2277097702026367,0.9690000414848328
9,4149,1.1463229656219482,0.8974044322967529,,,
9,4199,1.4506371021270752,0.7093355655670166,,,
9,4249,1.2506659030914307,0.7803730368614197,,,
9,4299,1.2719874382019043,0.8368738293647766,,,
9,4349,1.3007028102874756,0.8599734306335449,,,
9,4399,1.227916955947876,0.948939323425293,,,
9,4449,1.1981236934661865,0.8718197345733643,,,
9,4499,1.279045820236206,0.7828788757324219,,,
9,4549,1.2240562438964844,0.8848984241485596,,,
9,4599,1.371140956878662,0.7752635478973389,,,
9,4599,,,0.8382492863939106,1.322097659111023,0.8034963011741638
10,4649,1.3246278762817383,0.7531110644340515,,,
10,4699,1.2265167236328125,0.9383959174156189,,,
10,4749,1.1740643978118896,0.971240758895874,,,
10,4799,1.1858081817626953,0.9467441439628601,,,
10,4849,1.2947732210159302,0.8702647686004639,,,
10,4899,1.3443808555603027,0.7582108378410339,,,
10,4949,1.2401739358901978,0.889132022857666,,,
10,4999,1.438112735748291,0.9200714826583862,,,
10,5049,1.328190803527832,0.7804719805717468,,,
10,5059,,,0.5917493543563953,1.3480058908462524,0.7691503763198853
11,5099,1.1559138298034668,0.9378480911254883,,,
11,5149,1.2319581508636475,0.9465911984443665,,,
11,5199,1.3548774719238281,0.7891446948051453,,,
11,5249,1.299931287765503,0.8296281099319458,,,
11,5299,1.3525993824005127,0.8070604801177979,,,
11,5349,1.288861632347107,0.853415846824646,,,
11,5399,1.3168573379516602,0.9008011221885681,,,
11,5449,1.2316112518310547,0.838956892490387,,,
11,5499,1.2931512594223022,0.857913613319397,,,
11,5519,,,0.601739839608536,1.3869646787643433,0.7107134461402893
12,5549,1.332921028137207,0.783327579498291,,,
12,5599,1.3736308813095093,0.8205214738845825,,,
12,5649,1.2584724426269531,0.9267464876174927,,,
12,5699,1.2553555965423584,0.8490402698516846,,,
12,5749,1.2831834554672241,0.9168679714202881,,,
12,5799,1.351590871810913,0.7190639972686768,,,
12,5849,1.242008924484253,0.9292730093002319,,,
12,5899,1.2626440525054932,0.8510733842849731,,,
12,5949,1.268540382385254,0.7864338755607605,,,
12,5979,,,0.5936523039282317,1.3682405948638916,0.7621498107910156
13,5999,1.291176676750183,0.9093812108039856,,,
13,6049,1.2976138591766357,0.8478590250015259,,,
13,6099,1.1520345211029053,1.0195791721343994,,,
13,6149,1.0864651203155518,1.1196379661560059,,,
13,6199,1.2945431470870972,0.7825161814689636,,,
13,6249,1.3093223571777344,0.8575977087020874,,,
13,6299,1.173999309539795,1.006556510925293,,,
13,6349,1.2717636823654175,0.9386803507804871,,,
13,6399,1.3182547092437744,0.7747220993041992,,,
13,6439,,,0.5931765665352725,1.3019660711288452,0.9033136963844299
14,6449,1.204357624053955,0.928230345249176,,,
14,6499,1.3165779113769531,0.7711442708969116,,,
14,6549,1.2893887758255005,0.8386353254318237,,,
14,6599,1.3793814182281494,0.6711562275886536,,,
14,6649,1.3397347927093506,0.7312808036804199,,,
14,6699,1.3112854957580566,0.8846654891967773,,,
14,6749,1.384791374206543,0.7599607706069946,,,
14,6799,1.2998642921447754,0.8243592977523804,,,
