epoch,knn_accuracy,step,train_discriminator_loss,train_generator_loss,validation_discriminator_loss,validation_generator_loss
0,,49,0.2560638189315796,0.9956862330436707,,
0,,99,0.011352411471307278,1.0038124322891235,,
0,,149,0.0002095984818879515,0.9991856813430786,,
0,,199,0.00011721714690793306,1.0124343633651733,,
0,,249,9.688667341833934e-05,1.0016833543777466,,
0,,299,0.00015817044186405838,1.020326852798462,,
0,,349,0.00010739654680946842,1.01213538646698,,
0,,399,0.00024128436052706093,1.0013823509216309,,
0,,449,9.069731459021568e-05,1.000230073928833,,
0,0.5666607022285461,459,,,0.5796292424201965,0.07848097383975983
1,,499,7.200684194685891e-05,0.9974729418754578,,
1,,549,7.933657616376877e-05,1.001102089881897,,
1,,599,0.0002283101057400927,0.9926584959030151,,
1,,649,5.679918103851378e-05,0.9964054822921753,,
1,,699,0.00023408785637002438,1.018747329711914,,
1,,749,0.00028659269446507096,0.9724074602127075,,
1,,799,3.169963019900024e-05,1.000386118888855,,
1,,849,8.618907304480672e-05,0.988053560256958,,
1,,899,3.2035764888860285e-05,1.0042725801467896,,
1,0.5701732635498047,919,,,0.549373984336853,0.0976845845580101
2,,949,0.00019205216085538268,1.0176231861114502,,
2,,999,0.0003039108996745199,1.0054564476013184,,
2,,1049,0.00026281989994458854,1.0057059526443481,,
2,,1099,9.966576180886477e-05,1.006691575050354,,
2,,1149,3.070833918172866e-05,0.9983469843864441,,
2,,1199,0.0004925765097141266,0.961170494556427,,
2,,1249,4.790120874531567e-05,1.0051708221435547,,
2,,1299,7.20213502063416e-05,0.9988734722137451,,
2,,1349,2.4815341021167114e-05,1.0050702095031738,,
2,0.5766883492469788,1379,,,0.5090941190719604,0.13495971262454987
3,,1399,0.0007112601306289434,1.0426535606384277,,
3,,1449,7.114409527275711e-05,1.0096629858016968,,
3,,1499,7.602403638884425e-05,0.9921485185623169,,
3,,1549,7.073828601278365e-05,1.0038418769836426,,
3,,1599,5.9368885558797047e-05,1.000504970550537,,
3,,1649,0.0002236699656350538,1.0002591609954834,,
3,,1699,0.00011247764632571489,1.0002598762512207,,
3,,1749,0.0004952555755153298,0.9901717901229858,,
3,,1799,9.190577839035541e-05,1.016369104385376,,
3,0.580757737159729,1839,,,0.4914492964744568,0.18428605794906616
4,,1849,1.4155377357383259e-05,0.9991745948791504,,
4,,1899,1.2790048458555248e-05,0.9998648762702942,,
4,,1949,0.00020094553474336863,1.0065796375274658,,
4,,1999,0.0005237151635810733,1.0589851140975952,,
4,,2049,0.00022289967455435544,1.005751132965088,,
4,,2099,4.481444557313807e-05,1.01287841796875,,
4,,2149,4.854202052229084e-05,0.9963488578796387,,
4,,2199,0.00017052888870239258,0.9865900278091431,,
