epoch,step,train_discriminator_loss,train_generator_loss,validation_discriminator_accuracy,validation_discriminator_loss,validation_generator_loss
0,49,0.9333051443099976,1.9963687658309937,,,
0,99,0.9039528369903564,1.445813536643982,,,
0,149,0.9165007472038269,1.6957446336746216,,,
0,199,1.2086479663848877,1.1475857496261597,,,
0,249,1.1260908842086792,0.992940366268158,,,
0,299,1.0126372575759888,1.1001616716384888,,,
0,349,1.0743207931518555,0.9485013484954834,,,
0,399,0.8634133338928223,1.6251938343048096,,,
0,449,1.0364387035369873,1.2392704486846924,,,
0,459,,,0.45065923610167186,1.4383431673049927,0.678128719329834
1,499,0.9012660384178162,1.9004403352737427,,,
1,549,1.0297033786773682,1.3863189220428467,,,
1,599,0.8897839188575745,1.2532579898834229,,,
1,649,0.8799924254417419,1.5010828971862793,,,
1,699,0.8346416354179382,1.6209605932235718,,,
1,749,1.3214420080184937,0.789006769657135,,,
1,799,1.2881125211715698,1.0130972862243652,,,
1,849,1.1809906959533691,0.886662483215332,,,
1,899,1.0378507375717163,0.8084937334060669,,,
1,919,,,0.6193421231480223,1.4612904787063599,0.8136906027793884
2,949,1.234944224357605,0.8362736701965332,,,
2,999,1.2308979034423828,0.9143220782279968,,,
2,1049,0.9648481607437134,1.236974835395813,,,
2,1099,1.0416074991226196,1.253056526184082,,,
2,1149,1.079374074935913,1.2735300064086914,,,
2,1199,1.176515817642212,1.081524133682251,,,
2,1249,1.3442583084106445,0.7775442004203796,,,
2,1299,1.0428712368011475,1.0652623176574707,,,
2,1349,1.1042649745941162,1.0350960493087769,,,
2,1379,,,0.6523039282316161,1.2902716398239136,0.8302371501922607
3,1399,1.1155521869659424,1.1016258001327515,,,
3,1449,1.1495611667633057,0.8638465404510498,,,
3,1499,1.1267293691635132,1.0238138437271118,,,
3,1549,1.0071877241134644,1.3290512561798096,,,
3,1599,1.3105478286743164,0.9261663556098938,,,
3,1649,1.264129400253296,1.200986623764038,,,
3,1699,1.2519917488098145,0.8630712032318115,,,
3,1749,1.103100299835205,1.1808624267578125,,,
3,1799,1.2782926559448242,0.8624558448791504,,,
3,1839,,,0.5194372706266142,1.4075971841812134,0.7559242248535156
4,1849,1.2111084461212158,1.0447367429733276,,,
4,1899,1.0361418724060059,1.1003166437149048,,,
4,1949,0.9841396808624268,1.2193751335144043,,,
4,1999,1.395026445388794,0.8573501110076904,,,
4,2049,1.3074158430099487,0.9032140970230103,,,
4,2099,1.5281105041503906,0.8161065578460693,,,
4,2149,1.0500726699829102,1.1504037380218506,,,
4,2199,1.2905662059783936,0.8676913976669312,,,
4,2249,1.1415810585021973,0.9676295518875122,,,
4,2299,1.1349940299987793,1.1958858966827393,,,
4,2299,,,0.6198858230256898,1.3105219602584839,0.8281121850013733
5,2349,1.2272288799285889,0.9610217809677124,,,
