epoch,step,train_discriminator_loss,train_generator_loss,validation_discriminator_accuracy,validation_discriminator_loss,validation_generator_loss
6,2999,1.0619841814041138,1.1042108535766602,,,
6,3049,1.094074010848999,0.948235034942627,,,
6,3099,1.1359410285949707,0.8787189722061157,,,
6,3149,1.1503734588623047,0.8823332786560059,,,
6,3199,1.1189792156219482,1.0153613090515137,,,
6,3219,,,0.6333423949979611,1.2743254899978638,0.8714818358421326
7,3249,0.967150092124939,1.1459031105041504,,,
7,3299,1.191386103630066,0.7743720412254333,,,
7,3349,1.1338881254196167,0.9300375580787659,,,
7,3399,1.2045520544052124,0.8541122674942017,,,
7,3449,1.3639601469039917,0.7579693794250488,,,
7,3499,1.2668668031692505,0.7495008111000061,,,
7,3549,1.108475923538208,0.8753578662872314,,,
7,3599,1.0858306884765625,1.1192407608032227,,,
7,3649,1.208186149597168,0.975796103477478,,,
7,3679,,,0.686353133070545,1.218888521194458,0.7848948836326599
8,3699,1.4426984786987305,0.761052131652832,,,
8,3749,1.2707452774047852,0.9304931163787842,,,
8,3799,1.2658498287200928,0.8648577928543091,,,
8,3849,1.3442944288253784,0.8723578453063965,,,
8,3899,1.2579753398895264,0.7847943305969238,,,
8,3949,1.1589826345443726,0.8876034617424011,,,
8,3999,1.113797903060913,0.8467367887496948,,,
8,4049,1.4692713022232056,1.084007740020752,,,
8,4099,0.96211838722229,1.2617788314819336,,,
8,4139,,,0.7078972407231209,1.2265774011611938,0.8707960247993469
9,4149,1.3494421243667603,0.7418630123138428,,,
9,4199,1.129246711730957,1.0918607711791992,,,
9,4249,1.166832685470581,1.1063436269760132,,,
9,4299,1.2374796867370605,0.8208578824996948,,,
9,4349,1.253178358078003,0.8962672352790833,,,
9,4399,1.37114417552948,0.7602182626724243,,,
9,4449,1.303057074546814,0.8369967341423035,,,
9,4499,1.245042085647583,0.7870919704437256,,,
9,4549,1.2801623344421387,0.8374471068382263,,,
9,4599,1.3110296726226807,0.7653505206108093,,,
9,4599,,,0.6505369036291967,1.330832839012146,0.6770401000976562
10,4649,1.3866525888442993,0.6784572601318359,,,
10,4699,1.2602660655975342,0.8542364835739136,,,
10,4749,1.2467961311340332,0.8053454160690308,,,
10,4799,1.0370159149169922,1.2923318147659302,,,
10,4849,1.2831635475158691,0.8877328634262085,,,
10,4899,1.3204293251037598,0.8768136501312256,,,
10,4949,1.338881015777588,0.7889485359191895,,,
10,4999,1.2932872772216797,0.8089025020599365,,,
10,5049,1.2708252668380737,0.9308258295059204,,,
10,5059,,,0.6700421367405193,1.3236968517303467,0.8116877675056458
11,5099,1.133802056312561,1.0028996467590332,,,
11,5149,1.2917134761810303,0.8167722225189209,,,
11,5199,1.3143372535705566,0.7994982004165649,,,
11,5249,1.3397513628005981,0.8157448768615723,,,
11,5299,1.3198729753494263,0.733924925327301,,,
11,5349,1.3888342380523682,0.753324031829834,,,
11,5399,1.2377755641937256,0.8961249589920044,,,
11,5449,1.2021816968917847,0.8499663472175598,,,
11,5499,1.2545812129974365,0.8963973522186279,,,
11,5519,,,0.6622264509990485,1.3004831075668335,0.8190112709999084
12,5549,1.2153689861297607,0.9460582137107849,,,
12,5599,1.2896205186843872,0.8801566362380981,,,
12,5649,1.2811610698699951,0.8733791708946228,,,
12,5699,1.2667828798294067,0.8977614641189575,,,
12,5749,1.3290605545043945,0.8114381432533264,,,
12,5799,1.3119866847991943,0.8843991756439209,,,
12,5849,1.4307974576950073,0.7439182996749878,,,
12,5899,1.3163458108901978,0.8457783460617065,,,
12,5949,1.1931676864624023,0.9367031455039978,,,
12,5979,,,0.5810112817724616,1.391942024230957,0.7216113805770874
13,5999,1.2362056970596313,0.9755789041519165,,,
13,6049,1.0656137466430664,1.2223824262619019,,,
13,6099,1.3441343307495117,0.7765510082244873,,,
13,6149,1.2903759479522705,0.8004074692726135,,,
13,6199,1.393216848373413,0.786292314529419,,,
13,6249,1.2864995002746582,0.9770988821983337,,,
13,6299,1.2611005306243896,0.9260793328285217,,,
13,6349,1.2648956775665283,0.8448382019996643,,,
13,6399,1.1875674724578857,1.159681797027588,,,
13,6439,,,0.6278374337365774,1.3214761018753052,0.815671443939209
14,6449,1.1629467010498047,1.0262761116027832,,,
14,6499,1.2045358419418335,0.8603073954582214,,,
14,6549,1.3022817373275757,0.8633952140808105,,,
14,6599,1.2508878707885742,0.8518587946891785,,,
14,6649,1.2183046340942383,0.8891156911849976,,,
14,6699,1.2245776653289795,1.091308832168579,,,
14,6749,1.3055415153503418,0.8549747467041016,,,
14,6799,1.3449151515960693,0.858313798904419,,,
14,6849,1.332375407218933,0.8241915106773376,,,
14,6899,1.2764794826507568,0.8344212770462036,,,
14,6899,,,0.5755742829957863,1.363800287246704,0.7445483803749084
15,6949,1.361074686050415,0.7958440184593201,,,
15,6999,1.2966201305389404,0.8266406059265137,,,
15,7049,1.3169468641281128,0.8438882231712341,,,
15,7099,1.268333077430725,0.9105413556098938,,,
15,7149,1.1789298057556152,0.8769237995147705,,,
15,7199,1.3792940378189087,0.7851092219352722,,,
15,7249,1.2181487083435059,0.8629326820373535,,,
15,7299,1.1322832107543945,0.9842585325241089,,,
15,7349,1.3230416774749756,0.7821952104568481,,,
15,7359,,,0.413075982057904,1.445349931716919,0.7415701746940613
16,7399,1.250102162361145,0.8017551302909851,,,
16,7449,1.2601001262664795,0.8175086975097656,,,
16,7499,1.312035322189331,0.8103972673416138,,,
16,7549,1.2778728008270264,0.8358681201934814,,,
16,7599,1.316796064376831,0.785855233669281,,,
16,7649,1.2326561212539673,1.048728585243225,,,
16,7699,1.1992509365081787,0.8533530235290527,,,
16,7749,1.2604061365127563,0.6650924682617188,,,
16,7799,1.229490876197815,0.7927505970001221,,,
16,7819,,,0.6086040505640886,1.3291949033737183,0.770592212677002
17,7849,1.344465732574463,0.761503279209137,,,
17,7899,1.2203137874603271,0.9067900776863098,,,
17,7949,1.1775847673416138,0.8692619204521179,,,
17,7999,1.395432710647583,0.7101837396621704,,,
17,8049,1.254396677017212,0.855308473110199,,,
17,8099,1.2513961791992188,0.7405610084533691,,,
17,8149,1.2721703052520752,0.8116660118103027,,,
17,8199,1.269411325454712,0.7490937113761902,,,
17,8249,1.2026371955871582,0.8587586879730225,,,
17,8279,,,0.5568166372162566,1.3744663000106812,0.7443857789039612
18,8299,1.305300235748291,0.9198381900787354,,,
18,8349,1.156233787536621,0.8305193185806274,,,
18,8399,1.3204913139343262,0.7069897651672363,,,
18,8449,1.1857540607452393,0.9045060873031616,,,
18,8499,1.2663780450820923,0.9005761742591858,,,
18,8549,1.3434107303619385,0.823106050491333,,,
18,8599,1.075744867324829,1.0060397386550903,,,
18,8649,1.164341688156128,0.8579402565956116,,,
18,8699,1.2651808261871338,0.8818778991699219,,,
18,8739,,,0.6622264509990485,1.2922873497009277,0.8346368074417114
19,8749,1.2274961471557617,0.7503100633621216,,,
19,8799,1.148020625114441,0.8351764678955078,,,
19,8849,1.1656136512756348,0.9001551866531372,,,
19,8899,1.2599918842315674,0.8816925883293152,,,
19,8949,1.237046241760254,0.8817995190620422,,,
19,8999,1.250077486038208,0.7919406890869141,,,
19,9049,1.3143527507781982,0.7138604521751404,,,
19,9099,1.2144765853881836,0.8031936287879944,,,
19,9149,1.2932074069976807,0.6888617277145386,,,
19,9199,1.1930662393569946,0.7438809275627136,,,
19,9199,,,0.5697974717955688,1.3359055519104004,0.6856946349143982
20,9249,1.1488056182861328,0.9349668622016907,,,
20,9299,1.184295892715454,0.8293339014053345,,,
20,9349,1.3314638137817383,0.7544317841529846,,,
20,9399,1.3804666996002197,0.7455213069915771,,,
20,9449,1.1234886646270752,0.8151471614837646,,,
20,9499,1.2294480800628662,0.7723217010498047,,,
20,9549,1.3331964015960693,0.8693965077400208,,,
20,9599,1.2827057838439941,0.9213907122612,,,
20,9649,1.2088737487792969,0.7953636646270752,,,
20,9659,,,0.5732635585156993,1.3422261476516724,0.7471573352813721
21,9699,1.5274443626403809,0.8071017265319824,,,
21,9749,0.9337494373321533,1.0581634044647217,,,
21,9799,1.1562862396240234,1.0905436277389526,,,
21,9849,1.2596615552902222,0.7211146354675293,,,
21,9899,1.0364811420440674,0.9254599213600159,,,
21,9949,1.1770095825195312,0.892593502998352,,,
21,9999,1.1869808435440063,0.910500168800354,,,
21,10049,1.245761513710022,0.7459800839424133,,,
21,10099,1.2227801084518433,0.9028804302215576,,,
21,10119,,,0.6062253635992932,1.3535569906234741,0.7822509407997131
22,10149,1.2982425689697266,0.7575151920318604,,,
22,10199,1.1136856079101562,0.8894599676132202,,,
22,10249,1.202054738998413,0.8593933582305908,,,
22,10299,1.1112146377563477,0.9208624362945557,,,
22,10349,1.0712825059890747,0.8425647020339966,,,
22,10399,1.0942401885986328,1.0580990314483643,,,
22,10449,1.198856234550476,0.7576702237129211,,,
22,10499,1.111140489578247,0.8231574296951294,,,
22,10549,1.2621958255767822,0.8436894416809082,,,
