epoch,step,train_discriminator_loss,train_generator_loss,validation_discriminator_loss,validation_generator_loss
0,49,0.21662558615207672,0.7476301193237305,,
0,99,0.26851916313171387,1.0476789474487305,,
0,149,0.16442807018756866,1.1573376655578613,,
0,199,0.28686800599098206,2.4988560676574707,,
0,249,0.13522066175937653,1.7043898105621338,,
0,299,0.10792689770460129,0.7718475461006165,,
0,349,0.015053295530378819,0.9673489332199097,,
0,399,0.05074986442923546,1.138529896736145,,
0,449,0.03250483050942421,1.0005993843078613,,
0,459,,,0.41777104139328003,0.25243353843688965
1,499,0.021389802917838097,1.3968719244003296,,
1,549,0.03368883207440376,1.2071218490600586,,
1,599,0.03237462416291237,1.1286053657531738,,
1,649,0.025302093476057053,0.9179452657699585,,
1,699,0.11824889481067657,0.7630613446235657,,
1,749,0.04730290547013283,1.1171698570251465,,
1,799,0.018320664763450623,1.1456029415130615,,
1,849,0.06931546330451965,1.1339738368988037,,
1,899,0.014461356215178967,1.1709238290786743,,
1,919,,,0.267633318901062,0.5176693797111511
2,949,0.11025674641132355,0.8672326803207397,,
2,999,0.06027432531118393,0.9332799911499023,,
2,1049,0.05978263169527054,1.275978922843933,,
2,1099,0.024487074464559555,1.3404608964920044,,
2,1149,0.11586727201938629,1.0075535774230957,,
2,1199,0.032129667699337006,1.4343373775482178,,
2,1249,0.21548187732696533,1.1090970039367676,,
2,1299,0.06998100131750107,1.050450325012207,,
2,1349,0.20636610686779022,2.4755492210388184,,
2,1379,,,0.32233530282974243,0.47673332691192627
3,1399,0.0821792259812355,1.32272469997406,,
3,1449,0.03860501945018768,1.3485469818115234,,
3,1499,0.05672253668308258,0.9580047130584717,,
3,1549,0.24989570677280426,1.7667205333709717,,
3,1599,0.1313968002796173,1.6241788864135742,,
3,1649,0.08555136620998383,0.8484245538711548,,
3,1699,0.1116909608244896,0.7780135869979858,,
3,1749,0.12631841003894806,1.3805047273635864,,
3,1799,0.07131702452898026,1.3971092700958252,,
3,1839,,,0.29341548681259155,0.6064894199371338
4,1849,0.07590045034885406,0.7856360673904419,,
4,1899,0.11321961134672165,1.1129637956619263,,
4,1949,0.08293290436267853,2.226764440536499,,
4,1999,0.10397260636091232,1.6522455215454102,,
4,2049,0.06615832448005676,0.9816528558731079,,
4,2099,0.0534086599946022,1.01530122756958,,
4,2149,0.07033970952033997,0.989136278629303,,
4,2199,0.048393163830041885,1.2621254920959473,,
4,2249,0.1747554987668991,0.752525806427002,,
4,2299,0.09018173813819885,0.9713669419288635,,
4,2299,,,0.2943872809410095,0.7228900194168091
5,2349,0.1418609470129013,0.9944435358047485,,
5,2399,0.0813090056180954,1.1816259622573853,,
5,2449,0.1739247441291809,1.2685868740081787,,
5,2499,0.2089410126209259,0.7267718315124512,,
5,2549,0.08749780803918839,1.286916732788086,,
5,2599,0.12073557823896408,0.7723934650421143,,
5,2649,0.14164987206459045,1.5254762172698975,,
5,2699,0.09476839005947113,1.4448890686035156,,
5,2749,0.09167791903018951,1.7019615173339844,,
5,2759,,,0.3463626503944397,0.639845073223114
6,2799,0.05821489542722702,1.2483867406845093,,
6,2849,0.1143086776137352,1.1273808479309082,,
6,2899,0.10680162906646729,1.2893226146697998,,
6,2949,0.08577358722686768,0.9100353717803955,,
6,2999,0.19400276243686676,0.7020743489265442,,
6,3049,0.11127360165119171,1.362650990486145,,
6,3099,0.16863751411437988,1.4992380142211914,,
6,3149,0.05470316857099533,1.3686192035675049,,
6,3199,0.05268574133515358,1.305250883102417,,
6,3219,,,0.3651540279388428,0.4322885274887085
7,3249,0.0697110965847969,1.4669671058654785,,
7,3299,0.041865475475788116,1.169546127319336,,
7,3349,0.2811427712440491,1.9799716472625732,,
7,3399,0.0910225510597229,0.8633040189743042,,
7,3449,0.03733700141310692,1.3015214204788208,,
7,3499,0.06826004385948181,0.8681299686431885,,
7,3549,0.24430181086063385,1.710105061531067,,
7,3599,0.07139614224433899,1.0680816173553467,,
7,3649,0.0801343321800232,0.8253210186958313,,
7,3679,,,0.334358811378479,0.3922799825668335
8,3699,0.035731904208660126,0.8970938324928284,,
8,3749,0.09493964910507202,0.8751071691513062,,
8,3799,0.22323456406593323,0.9622330069541931,,
8,3849,0.16733276844024658,0.7870909571647644,,
8,3899,0.10058952867984772,1.4705473184585571,,
8,3949,0.039009660482406616,0.9003899097442627,,
8,3999,0.046763837337493896,1.7144149541854858,,
8,4049,0.16687072813510895,0.6174192428588867,,
8,4099,0.045182451605796814,1.8182801008224487,,
8,4139,,,0.3029560446739197,0.5396133065223694
9,4149,0.09532324969768524,1.457775354385376,,
9,4199,0.062092844396829605,1.0203646421432495,,
9,4249,0.09290691465139389,1.2232770919799805,,
9,4299,0.29524070024490356,0.9574163556098938,,
9,4349,0.0922309160232544,1.2675889730453491,,
9,4399,0.14146530628204346,1.1027493476867676,,
9,4449,0.02371998131275177,1.3114190101623535,,
9,4499,0.04878716170787811,1.0546053647994995,,
9,4549,0.11909323930740356,0.6856381893157959,,
9,4599,0.03804854303598404,0.6921751499176025,,
9,4599,,,0.34809741377830505,0.4209061563014984
10,4649,0.08815110474824905,0.867814302444458,,
10,4699,0.06220834702253342,1.6072098016738892,,
10,4749,0.11096441745758057,1.2483110427856445,,
10,4799,0.04463443160057068,0.8817455768585205,,
10,4849,0.037479862570762634,1.121093988418579,,
10,4899,0.06128200888633728,1.3168792724609375,,
10,4949,0.10007534921169281,0.6538740992546082,,
10,4999,0.058083683252334595,1.0750505924224854,,
10,5049,0.06296729296445847,1.120452642440796,,
10,5059,,,0.342578649520874,0.4271111786365509
11,5099,0.06347094476222992,0.9229227304458618,,
11,5149,0.02649613842368126,1.1404578685760498,,
11,5199,0.0655607283115387,0.9333964586257935,,
11,5249,0.06903330981731415,1.2534189224243164,,
11,5299,0.04070654511451721,0.8584389686584473,,
11,5349,0.04171915724873543,0.9481741189956665,,
11,5399,0.046291179955005646,1.061551570892334,,
11,5449,0.23474089801311493,1.6351418495178223,,
